PMID,PMCID,outer folder,tar file,MeSH terms
38590559,PMC11000052,outer,paper_metadata,[]
38590570,PMC11000045,outer,paper_metadata,[]
38590574,PMC11000049,outer,paper_metadata,[]
38590575,PMC11000051,outer,paper_metadata,[]
38590576,PMC11000050,outer,paper_metadata,[]
38590580,PMC11000048,outer,paper_metadata,[]
38590839,PMC11000009,outer,paper_metadata,[]
38590840,PMC11000000,outer,paper_metadata,[]
38590851,PMC11000020,outer,paper_metadata,[]
38590871,PMC11000026,outer,paper_metadata,[]
38590874,PMC11000021,outer,paper_metadata,[]
38590883,PMC11000022,outer,paper_metadata,[]
38590885,PMC11000010,outer,paper_metadata,[]
38590887,PMC11000005,outer,paper_metadata,[]
38590892,PMC11000004,outer,paper_metadata,[]
38590893,PMC11000003,outer,paper_metadata,[]
38590894,PMC11000006,outer,paper_metadata,[]
38590898,PMC11000023,outer,paper_metadata,[]
38590901,PMC11000012,outer,paper_metadata,[]
38590905,PMC11000017,outer,paper_metadata,[]
38590908,PMC11000007,outer,paper_metadata,[]
38591007,PMC11000014,outer,paper_metadata,[]
38591008,PMC11000008,outer,paper_metadata,[]
38591009,PMC11000015,outer,paper_metadata,[]
38591010,PMC11000013,outer,paper_metadata,[]
38591011,PMC11000024,outer,paper_metadata,[]
38596168,PMC11000019,outer,paper_metadata,[]
38596265,PMC11000041,outer,paper_metadata,[]
38596266,PMC11000037,outer,paper_metadata,[]
38596267,PMC11000042,outer,paper_metadata,[]
38596268,PMC11000039,outer,paper_metadata,[]
38596269,PMC11000040,outer,paper_metadata,[]
38596270,PMC11000038,outer,paper_metadata,[]
